mfd_date,Interest_O_N,Interest_1_W,Interest_2_W,Interest_1_M,Interest_3_M,Interest_6_M,Interest_9_M,Interest_1_Y
20130701,4.4560,5.4230,6.0400,6.8800,5.2950,4.2390,4.2820,4.4125
20130702,3.7860,4.7500,5.0740,5.8000,5.2110,4.2344,4.2808,4.4070
20130703,3.4000,4.2420,4.6580,5.2000,5.1480,4.2300,4.2796,4.4022
20130704,3.3480,3.9380,4.4640,5.1020,5.0290,4.2287,4.2776,4.4000
20130705,3.3800,3.8160,4.2950,4.7885,4.9390,4.2273,4.2749,4.4000
20130708,3.2560,3.6560,3.6860,4.3000,4.7940,4.2238,4.2741,4.4000
20130709,3.2490,3.5960,3.6040,4.2980,4.7230,4.2215,4.2720,4.4000
20130710,3.2510,3.5900,3.8500,4.2690,4.7040,4.2200,4.2707,4.4000
20130711,3.3547,3.8100,3.9060,4.3510,4.6955,4.2199,4.2705,4.4000
20130712,3.3000,3.8000,3.9280,4.1280,4.6910,4.2189,4.2704,4.4000
20130715,3.2998,3.8090,3.9400,4.2705,4.6785,4.2185,4.2701,4.4000
20130716,3.0130,3.7060,4.0000,4.4240,4.6703,4.2176,4.2700,4.4000
20130717,2.9680,3.5960,3.9920,4.5300,4.6620,4.2166,4.2700,4.4000
20130718,2.9980,3.6340,3.9960,4.6100,4.6578,4.2173,4.2700,4.4000
20130719,3.0400,3.7450,4.0570,4.6690,4.6525,4.2173,4.2700,4.4000
20130722,3.1035,3.9250,4.0990,4.8060,4.6515,4.2173,4.2700,4.4000
20130723,3.1355,3.9590,4.1100,4.9900,4.6517,4.2173,4.2700,4.4000
20130724,3.2300,4.0110,4.1310,5.2930,4.6610,4.2189,4.2700,4.4000
20130725,3.3495,4.1320,4.2580,5.4680,4.6601,4.2185,4.2700,4.4000
20130726,3.5500,4.3510,4.6200,5.7220,4.6670,4.2189,4.2700,4.4000
20130729,3.7030,5.0570,5.5000,5.9880,4.6710,4.2201,4.2700,4.4000
20130730,3.6410,4.9720,5.3400,5.8890,4.6670,4.2203,4.2700,4.4000
20130731,3.6990,4.9710,5.4530,5.3400,4.6645,4.2199,4.2700,4.4000
20130801,3.5490,4.5450,5.3600,4.8460,4.6635,4.2193,4.2700,4.4000
20130802,3.2539,4.3140,4.5500,4.6420,4.6595,4.2198,4.2700,4.4000
20130805,3.1000,4.3560,4.3100,4.5750,4.6550,4.2198,4.2700,4.4000
20130806,3.1000,4.0660,4.5490,4.6005,4.6538,4.2193,4.2700,4.4000
20130807,3.1005,3.8730,4.3610,4.5800,4.6515,4.2197,4.2700,4.4000
20130808,3.1641,3.7585,4.4200,4.5950,4.6504,4.2198,4.2700,4.4000
20130809,2.9140,3.6400,4.3000,4.5350,4.6501,4.2198,4.2700,4.4000
20130812,2.9645,3.6480,4.1680,4.5000,4.6500,4.2200,4.2700,4.4000
20130813,3.2253,3.7020,4.1600,4.5240,4.6500,4.2198,4.2700,4.4000
20130814,3.4350,3.8550,4.1600,4.5050,4.6500,4.2198,4.2700,4.4000
20130815,3.2830,3.9940,4.1190,4.5170,4.6502,4.2198,4.2700,4.4000
20130816,3.2090,3.7720,3.8230,4.5600,4.6503,4.2198,4.2700,4.4000
20130819,3.4030,4.0920,5.1560,4.9250,4.6573,4.2198,4.2700,4.4000
20130820,3.8540,4.4280,5.4670,5.2180,4.6636,4.2198,4.2701,4.4000
20130821,3.5170,4.2190,5.4000,5.0400,4.6580,4.2198,4.2700,4.4000
20130822,3.3570,4.1150,5.0460,4.9680,4.6620,4.2198,4.2700,4.4000
20130823,3.2650,4.1490,5.1710,5.0160,4.6620,4.2198,4.2700,4.4000
20130826,3.0370,4.0230,5.1960,5.0070,4.6619,4.2198,4.2701,4.4000
20130827,3.0060,4.2090,5.3820,4.9740,4.6609,4.2198,4.2701,4.4000
20130828,3.0980,4.2590,5.0150,4.9290,4.6586,4.2198,4.2701,4.4000
20130829,2.9570,4.3180,4.4000,4.9030,4.6580,4.2198,4.2701,4.4000
20130830,3.0340,3.7355,4.3110,4.8050,4.6572,4.2198,4.2701,4.4000
20130902,3.0188,3.7420,4.1500,4.6000,4.6561,4.2198,4.2701,4.4000
20130903,3.0006,3.7500,3.7630,4.5230,4.6558,4.2198,4.2701,4.4000
20130904,3.0050,3.4980,3.7470,4.5810,4.6566,4.2198,4.2701,4.4000
20130905,2.8900,3.4560,3.7050,4.5740,4.6566,4.2200,4.2703,4.4000
20130906,2.9500,3.4690,3.7160,4.4840,4.6573,4.2198,4.2700,4.4000
20130909,2.9200,3.5540,3.7140,4.5980,4.6564,4.2198,4.2700,4.4000
20130910,2.8955,3.6250,3.7460,4.8620,4.6549,4.2198,4.2700,4.4000
20130911,3.0140,3.4820,3.7670,5.1380,4.6559,4.2198,4.2700,4.4000
20130912,2.9670,3.4940,3.8000,5.3740,4.6563,4.2198,4.2700,4.4000
20130913,2.9790,3.5700,3.8520,5.4834,4.6571,4.2200,4.2700,4.4000
20130916,3.0080,3.4690,3.5920,5.6700,4.6569,4.2200,4.2700,4.4000
20130917,3.4930,3.5830,3.6400,5.8360,4.6579,4.2200,4.2700,4.4000
20130918,3.5570,3.7490,3.9325,5.9130,4.6584,4.2200,4.2700,4.4000
20130922,3.5730,3.9910,4.0070,5.9480,4.6617,4.2200,4.2700,4.4000
20130923,3.8150,4.2320,4.3500,6.0040,4.6717,4.2200,4.2700,4.4000
20130924,3.6144,4.4400,4.8033,6.1089,4.6731,4.2200,4.2700,4.4000
20130925,3.3470,3.9160,5.1825,5.8560,4.6715,4.2200,4.2700,4.4000
20130926,3.1120,4.0550,5.5710,5.4350,4.6732,4.2200,4.2700,4.4000
20130927,3.1477,3.6460,5.6528,5.3300,4.6722,4.2200,4.2700,4.4000
20130929,3.1500,3.7490,5.7780,5.3000,4.6732,4.2200,4.2700,4.4000
20130930,3.1260,4.2030,4.7740,5.3000,4.6704,4.2200,4.2700,4.4000
20131008,3.0520,4.3930,4.7800,5.1780,4.6685,4.2200,4.2700,4.4000
20131009,3.2320,4.5020,4.8160,5.2130,4.6682,4.2200,4.2700,4.4000
20131010,3.3280,4.4800,4.9390,5.1000,4.6681,4.2200,4.2700,4.4000
20131011,3.1000,4.2600,4.8470,5.0000,4.6679,4.2200,4.2700,4.4000
20131012,3.0270,4.2460,4.7980,4.8050,4.6673,4.2200,4.2700,4.4000
20131014,3.1130,3.8550,4.6500,4.8500,4.6661,4.2200,4.2700,4.4000
20131015,3.1170,3.8450,3.8830,4.7130,4.6655,4.2200,4.2700,4.4000
20131016,3.0550,3.3140,3.3570,4.8570,4.6654,4.2200,4.2700,4.4000
20131017,3.0380,3.3500,3.3910,4.7300,4.6681,4.2200,4.2700,4.4000
20131018,3.0010,3.4850,3.5730,4.6130,4.6695,4.2200,4.2700,4.4000
20131021,3.0600,3.5480,3.6700,4.6830,4.6775,4.2200,4.2700,4.4000
20131022,3.0520,3.5580,3.6000,4.7070,4.6813,4.2200,4.2700,4.4000
20131023,3.7800,3.9920,3.8710,4.8140,4.6843,4.2200,4.2700,4.4000
20131024,4.0880,4.6800,4.8820,5.4000,4.6876,4.2201,4.2700,4.4000
20131025,4.3670,4.8910,5.8620,6.4220,4.6910,4.2201,4.2700,4.4000
20131028,4.4340,4.8940,6.3960,6.4770,4.6975,4.2201,4.2700,4.4000
20131029,4.4460,4.9470,6.4520,6.1620,4.6966,4.2200,4.2700,4.4000
20131030,5.2300,5.5930,6.3490,5.9240,4.6965,4.2195,4.2700,4.4000
20131031,4.5900,4.9930,5.5100,5.3340,4.6948,4.2200,4.2700,4.4000
20131101,4.2883,4.6100,5.0300,5.1620,4.6925,4.2200,4.2700,4.4000
20131104,4.0971,4.4230,4.5000,4.6050,4.6921,4.2200,4.2700,4.4000
20131105,3.9147,4.2320,4.5570,4.6155,4.6930,4.2200,4.2700,4.4000
20131106,3.6600,3.8660,4.5500,4.8690,4.6926,4.2200,4.2700,4.4000
20131107,3.7300,3.8910,4.5520,4.9740,4.6933,4.2204,4.2700,4.4000
20131108,3.7610,3.9390,4.5805,5.0770,4.6944,4.2201,4.2700,4.4000
20131111,3.6000,3.7800,4.4580,5.2690,4.6962,4.2200,4.2700,4.4000
20131112,3.3290,3.5450,4.3050,4.8650,4.6978,4.2200,4.2700,4.4000
20131113,3.3360,3.6350,4.3590,5.2510,4.6990,4.2200,4.2700,4.4000
20131114,4.1880,4.1930,4.4850,5.3250,4.6997,4.2202,4.2700,4.4000
20131115,4.4540,5.3110,5.9020,5.9490,4.7060,4.2207,4.2700,4.4000
20131118,4.5130,5.3570,6.1980,6.4050,4.7095,4.2206,4.2700,4.4000
20131119,4.0750,4.8300,5.5320,6.1210,4.7100,4.2206,4.2700,4.4000
20131120,4.0570,4.7510,5.4300,6.1790,4.7092,4.2207,4.2700,4.4000
20131121,3.8890,4.7080,5.5990,6.2830,4.7110,4.2207,4.2700,4.4000
20131122,3.8990,4.7630,5.9160,6.3780,4.7118,4.2207,4.2700,4.4000
20131125,3.8470,4.7400,6.1650,6.3780,4.7132,4.2207,4.2700,4.4000
20131126,3.7460,4.6775,5.9500,6.5820,4.7156,4.2207,4.2700,4.4000
20131127,3.7640,4.6630,5.9680,6.7040,4.7211,4.2207,4.2700,4.4000
20131128,3.7460,4.8230,6.2950,6.5550,4.7181,4.2207,4.2700,4.4000
20131129,3.7260,4.6660,6.0660,6.3650,4.7229,4.2207,4.2700,4.4000
20131202,3.7480,4.5710,5.9300,6.2630,4.7197,4.2207,4.2700,4.4000
20131203,3.7250,4.6000,5.9130,6.2800,4.7365,4.2216,4.2701,4.4000
20131204,3.7235,4.5770,5.7500,6.2350,4.7778,4.2320,4.2706,4.4000
20131205,3.7030,4.5580,5.5090,6.0800,4.8850,4.2432,4.2707,4.4000
20131206,3.7000,4.5500,5.0580,5.5960,5.1670,4.2513,4.2739,4.4050
20131209,3.6200,4.4850,4.8820,5.4500,5.2581,4.3302,4.3553,4.4689
20131210,3.5580,4.4440,4.7200,5.2960,5.3380,4.3995,4.4319,4.5237
20131211,3.5100,4.3290,4.5500,5.2380,5.3320,4.4612,4.4969,4.5771
20131212,3.4600,4.3050,4.5100,5.4155,5.3222,4.5197,4.5547,4.6247
20131213,3.4321,4.3000,4.4100,5.4230,5.3350,4.5736,4.6072,4.6657
20131216,3.4470,4.3580,4.3890,5.5570,5.3310,4.6207,4.6553,4.7045
20131217,3.4700,4.4590,4.5520,6.2350,5.3537,4.6608,4.6957,4.7335
20131218,3.5880,5.9020,5.0790,6.7650,5.3850,4.7054,4.7423,4.7634
20131219,3.8460,6.4720,6.2180,7.1012,5.4239,4.7487,4.7816,4.8013
20131220,3.9270,7.6540,7.0030,7.5300,5.4580,4.7818,4.8135,4.8353
20131223,4.5150,8.8430,8.2460,7.6560,5.5160,4.8151,4.8422,4.8656
20131224,4.1450,6.1970,5.7610,6.6050,5.5174,4.8369,4.8622,4.8856
20131225,4.0500,5.6160,5.9410,6.5090,5.5220,4.8588,4.8823,4.9034
20131226,4.0010,5.3290,6.1400,6.5700,5.5380,4.8763,4.8982,4.9203
20131227,3.5130,5.0670,5.9490,6.4920,5.5465,4.8942,4.9142,4.9361
20131230,3.2050,4.8410,5.9070,6.1220,5.5530,4.9068,4.9277,4.9485
20131231,3.1480,5.2500,5.9620,5.9130,5.5565,4.9205,4.9400,4.9606
20140102,3.1310,4.9810,5.7590,5.9100,5.5657,4.9306,4.9501,4.9677
20140103,3.0060,4.7110,5.5240,6.2010,5.5661,4.9389,4.9582,4.9757
20140106,2.9200,4.6330,5.4330,6.4750,5.5732,4.9476,4.9660,4.9824
20140107,2.8750,4.2590,5.0740,5.9250,5.5760,4.9547,4.9713,4.9869
20140108,2.8300,4.1260,4.9270,5.6500,5.5821,4.9585,4.9742,4.9904
20140109,2.7940,4.0200,4.7990,6.3140,5.5837,4.9640,4.9776,4.9929
20140110,2.7660,4.0410,4.7500,5.6750,5.5841,4.9673,4.9818,4.9934
20140113,2.7380,4.0130,4.6360,6.4650,5.5849,4.9715,4.9840,4.9955
20140114,2.7395,4.0036,4.6900,6.4842,5.5865,4.9742,4.9855,4.9977
20140115,2.7513,3.9650,4.6410,6.7420,5.5846,4.9757,4.9896,4.9997
20140116,2.7723,4.2560,4.6790,6.6930,5.5812,4.9788,4.9913,4.9999
20140117,2.8170,4.7760,4.7350,6.9640,5.5868,4.9821,4.9918,5.0002
20140120,3.8880,6.3290,5.5380,7.4720,5.5893,4.9854,4.9930,5.0001
20140121,3.6410,5.5350,5.5620,7.4270,5.5910,4.9873,4.9936,5.0001
20140122,3.6760,5.2240,5.5600,6.9500,5.5924,4.9887,4.9935,5.0001
20140123,3.7000,5.2930,5.9400,6.7080,5.5926,4.9904,4.9943,5.0001
20140124,3.7193,4.4490,6.7650,6.8170,5.5946,4.9922,4.9950,5.0001
20140126,4.4000,4.7170,6.3500,6.9950,5.5962,4.9929,4.9966,5.0001
20140127,4.5340,4.6890,6.0920,6.8300,5.5989,4.9933,4.9984,5.0001
20140128,4.8477,4.9657,6.8070,7.3330,5.5998,4.9931,4.9994,5.0001
20140129,4.8000,5.1080,7.0720,7.1920,5.6000,4.9938,4.9996,5.0001
20140130,4.4350,4.9830,5.7330,5.4410,5.6000,4.9941,4.9998,5.0001
20140207,4.2700,5.4090,5.6500,5.4000,5.6000,4.9939,4.9998,5.0001
20140208,4.2500,5.2500,5.4300,5.8110,5.6050,4.9936,4.9999,5.0001
20140210,4.3035,5.2990,5.4220,5.8490,5.6031,4.9936,5.0000,5.0001
20140211,4.1370,5.2010,5.2800,5.7580,5.6005,4.9936,5.0000,5.0001
20140212,4.0750,5.1780,5.2200,5.6500,5.6012,4.9955,5.0000,5.0001
20140213,3.6690,5.0210,4.9110,5.6290,5.6037,4.9963,5.0000,5.0007
20140214,3.2780,4.4360,4.5630,5.4930,5.6005,4.9966,5.0000,5.0001
20140217,2.9510,3.8790,4.4830,5.3650,5.6000,4.9984,5.0000,5.0001
20140218,2.6800,3.7430,4.6390,5.2985,5.6000,4.9993,5.0000,5.0001
20140219,2.4030,3.7620,4.6780,5.2942,5.6000,4.9998,5.0000,5.0001
20140220,1.9810,3.7030,4.1490,5.2200,5.5960,4.9999,5.0000,5.0001
20140221,1.7640,3.5950,4.0000,5.1760,5.5775,4.9996,5.0000,5.0001
20140224,1.7000,3.3390,3.9700,4.9680,5.5665,5.0000,5.0000,5.0001
20140225,1.7200,3.2780,3.8110,4.5190,5.5585,5.0000,5.0000,5.0001
20140226,1.7500,3.0720,3.8220,4.4435,5.5415,5.0000,5.0000,5.0001
20140227,1.7500,3.4300,3.7610,4.3680,5.5360,5.0000,5.0000,5.0001
20140228,1.8458,3.5290,3.7530,4.3160,5.5290,5.0000,5.0000,5.0001
20140303,2.0850,2.8210,3.7340,4.2620,5.5190,5.0000,5.0000,5.0001
20140304,2.0830,3.5135,3.8000,4.3650,5.5150,5.0000,5.0000,5.0001
20140305,2.0900,3.7980,3.8000,4.4500,5.5105,5.0000,5.0000,5.0001
20140306,2.0547,2.4860,3.7620,4.6400,5.5067,5.0000,5.0000,5.0001
20140307,1.9948,2.4030,3.0520,4.5860,5.5040,5.0000,5.0000,5.0001
20140310,1.9190,2.3580,2.6250,4.5740,5.5020,5.0000,5.0000,5.0000
20140311,1.8730,2.2580,2.2950,4.2930,5.5002,5.0000,5.0000,5.0000
20140312,1.9000,2.2110,2.2080,3.8720,5.5000,5.0000,5.0000,5.0000
20140313,1.9600,2.5000,2.2770,3.8300,5.5000,5.0000,5.0000,5.0000
20140314,1.8765,2.5270,2.6080,3.8680,5.5000,5.0000,5.0000,5.0000
20140317,1.8690,2.6710,2.7000,3.9380,5.5000,5.0000,5.0000,5.0000
20140318,2.0500,2.8800,2.8800,4.0220,5.5000,5.0000,5.0000,5.0000
20140319,2.8025,3.4220,3.8000,4.4120,5.5000,5.0000,5.0000,5.0000
20140320,3.0110,3.4740,3.6410,4.6190,5.5000,5.0000,5.0000,5.0000
20140321,2.5000,3.6000,3.7800,4.8950,5.5000,5.0000,5.0000,5.0000
20140324,2.5000,3.5780,3.8230,5.1480,5.5000,5.0000,5.0000,5.0000
20140325,2.5000,3.6295,4.0640,5.1250,5.5000,5.0000,5.0000,5.0000
20140326,2.5200,3.8680,4.5300,4.8350,5.5000,5.0000,5.0000,5.0000
20140327,2.6580,4.8120,5.1610,4.9380,5.5000,5.0000,5.0000,5.0000
20140328,2.7500,4.1680,5.4600,4.7690,5.5000,5.0000,5.0000,5.0000
20140331,2.8000,4.1840,5.4670,4.6170,5.5000,5.0000,5.0000,5.0000
20140401,2.8660,4.2050,4.5030,4.6000,5.5000,5.0000,5.0000,5.0000
20140402,2.9500,4.2250,4.5040,4.6000,5.5000,5.0000,5.0000,5.0000
20140403,2.9500,4.1030,4.4570,4.6000,5.5000,5.0000,5.0000,5.0000
20140404,2.7630,2.9970,4.2780,4.5970,5.5000,5.0000,5.0000,5.0000
20140408,2.7130,3.5910,4.2100,4.4370,5.5000,5.0000,5.0000,5.0000
20140409,2.7400,3.6700,4.1820,4.4010,5.5000,5.0000,5.0000,5.0000
20140410,2.7400,3.7080,3.7150,4.3750,5.5000,5.0000,5.0000,5.0000
20140411,2.7500,3.7010,3.7030,4.2090,5.5000,5.0000,5.0000,5.0000
20140414,2.6390,3.5700,3.7000,4.1650,5.5000,5.0000,5.0000,5.0000
20140415,2.4490,3.4440,3.3880,4.1020,5.5000,5.0000,5.0000,5.0000
20140416,2.2980,2.7260,3.0030,4.0850,5.5000,5.0000,5.0000,5.0000
20140417,2.1810,2.7210,2.7640,4.0600,5.5000,5.0000,5.0000,5.0000
20140418,2.0000,2.7610,2.7820,3.9300,5.5000,5.0000,5.0000,5.0000
20140421,1.9800,2.7130,2.9940,3.7670,5.5000,5.0000,5.0000,5.0000
20140422,1.9262,3.0290,3.3110,3.8080,5.5000,5.0000,5.0000,5.0000
20140423,1.9630,3.0800,3.7150,3.9511,5.5000,5.0000,5.0000,5.0000
20140424,2.3030,3.5210,4.1470,4.3200,5.5000,5.0000,5.0000,5.0000
20140425,2.3100,3.5030,4.3290,4.2860,5.4900,5.0000,5.0000,5.0000
20140428,2.4060,4.0250,4.5430,4.6000,5.4982,5.0000,5.0000,5.0000
20140429,2.6040,4.0738,4.8850,4.5930,5.5000,5.0000,5.0000,5.0000
20140430,2.5000,4.1340,4.1760,4.6040,5.4950,5.0000,5.0000,5.0000
20140504,2.4000,3.6830,3.7080,4.5000,5.4820,5.0000,5.0000,5.0000
20140505,2.3700,3.1400,3.1580,4.0580,5.4655,5.0000,5.0000,5.0000
20140506,2.3700,3.0920,3.1580,3.9410,5.4474,5.0000,5.0000,5.0000
20140507,2.3700,3.1125,3.0920,3.8820,5.4167,5.0000,5.0000,5.0000
20140508,2.2300,3.2040,3.1060,3.7900,5.3992,5.0000,5.0000,5.0000
20140509,2.2205,3.1940,3.1210,3.7730,5.3909,5.0000,5.0000,5.0000
20140512,2.2135,3.1800,3.1980,3.6600,5.3764,5.0000,5.0000,5.0000
20140513,2.3500,3.1810,3.2498,3.6170,5.3414,5.0000,5.0000,5.0000
20140514,2.3666,3.2360,3.2330,3.5675,5.3198,5.0000,5.0000,5.0000
20140515,2.3500,3.1355,3.2020,3.6510,5.2665,5.0000,5.0000,5.0000
20140516,2.3700,3.1290,3.1270,3.6900,5.2418,5.0000,5.0000,5.0100
20140519,2.3960,3.1000,3.1318,3.7360,5.2142,5.0000,5.0000,5.0110
20140520,2.4270,3.3610,3.5790,4.0950,5.1772,5.0000,5.0000,5.0030
20140521,2.5280,3.3530,3.9250,4.2000,5.1215,5.0000,5.0000,5.0026
20140522,2.5100,3.4190,3.9190,4.2030,5.0935,5.0000,5.0000,5.0014
20140523,2.5300,3.4050,3.9080,4.0685,5.0675,5.0000,5.0000,5.0013
20140526,2.5025,3.1950,3.8220,4.1000,5.0413,5.0000,5.0000,5.0012
20140527,2.5410,3.2470,3.3900,4.0000,5.0197,5.0000,5.0000,5.0002
20140528,2.5100,3.2000,3.3300,3.9400,4.9768,5.0000,5.0000,5.0001
20140529,2.5100,3.2150,3.3490,3.8770,4.9418,4.9990,5.0000,5.0001
20140530,2.5700,3.2300,3.3240,3.8610,4.9250,4.9998,5.0000,5.0000
20140603,2.5210,3.1800,3.3800,3.7160,4.8830,4.9958,4.9980,5.0000
20140604,2.5610,3.1520,3.3340,3.9310,4.8550,4.9868,4.9967,5.0000
20140605,2.5760,3.0700,3.4480,3.8780,4.8393,4.9733,4.9967,5.0000
20140606,2.5808,3.1500,3.4420,3.9840,4.8259,4.9609,4.9959,5.0000
20140609,2.5800,3.1300,3.1580,4.1610,4.8181,4.9603,4.9938,5.0000
20140610,2.5700,3.1300,3.1320,4.1590,4.8095,4.9615,4.9946,5.0000
20140611,2.5920,3.1500,3.2230,4.3810,4.7941,4.9606,4.9926,5.0000
20140612,2.5970,3.1540,3.2500,4.7190,4.7862,4.9601,4.9925,5.0000
20140613,2.6000,3.0400,3.2590,4.8140,4.7794,4.9600,4.9935,5.0000
20140616,2.6000,3.0060,3.2370,5.0580,4.7777,4.9510,4.9889,5.0000
20140617,2.6000,3.0310,3.5680,4.9410,4.7825,4.9347,4.9867,5.0000
20140618,2.6390,3.0740,4.5110,4.9720,4.7767,4.9277,4.9842,5.0000
20140619,2.6980,3.0930,4.0300,5.2330,4.7692,4.9216,4.9805,5.0000
20140620,2.7590,3.4020,4.5780,5.4350,4.7751,4.9139,4.9796,5.0000
20140623,2.7550,3.4480,4.6030,5.5260,4.7761,4.9136,4.9777,5.0000
20140624,2.9710,3.4830,4.6970,5.6380,4.7679,4.9081,4.9747,5.0000
20140625,2.9950,3.4640,5.0600,5.4920,4.7582,4.9059,4.9722,5.0000
20140626,2.9740,3.5520,5.1470,5.0350,4.7478,4.9033,4.9677,5.0000
20140627,2.8850,3.7810,5.1840,5.0120,4.7482,4.9010,4.9664,5.0000
20140630,2.9130,3.8670,5.3940,5.0040,4.7499,4.9007,4.9658,5.0000
20140701,3.0170,4.4210,4.7110,5.0010,4.7499,4.9004,4.9654,5.0000
20140702,3.0200,3.9270,4.0890,4.8910,4.7500,4.9001,4.9672,5.0000
20140703,2.9600,3.3930,3.5000,4.1320,4.7500,4.9001,4.9654,5.0000
20140704,2.9400,3.4200,3.5000,4.0630,4.7500,4.9000,4.9652,5.0000
20140707,2.9520,3.4210,3.4460,4.0470,4.7495,4.9000,4.9641,5.0000
20140708,3.2530,3.5200,3.7820,4.0460,4.7500,4.9000,4.9607,5.0000
20140709,3.3510,3.7360,4.0230,4.1000,4.7490,4.9000,4.9628,5.0000
20140710,3.3000,3.7110,4.0690,4.1545,4.7438,4.9000,4.9608,5.0000
20140711,3.2850,3.7230,4.1530,4.1630,4.7423,4.9000,4.9616,5.0000
20140714,3.2550,3.7035,4.2990,4.3130,4.7461,4.9001,4.9618,5.0000
20140715,3.2180,3.6460,4.1800,4.4170,4.7485,4.9001,4.9618,5.0000
20140716,3.2472,3.6500,4.3910,4.4920,4.7487,4.9000,4.9608,5.0000
20140717,3.2465,3.6410,4.4000,4.5880,4.7448,4.9000,4.9616,5.0000
20140718,3.2450,3.6510,4.9880,4.7300,4.7467,4.9000,4.9616,5.0000
20140721,3.3180,3.6940,4.9910,5.0300,4.7467,4.9000,4.9607,5.0000
20140722,3.2530,3.8480,5.1590,5.1150,4.7465,4.9000,4.9605,5.0000
20140723,3.2950,4.2020,5.1500,5.2710,4.7525,4.9000,4.9604,5.0000
20140724,3.3130,4.1010,5.2730,5.2780,4.7465,4.9000,4.9604,5.0000
20140725,3.3480,4.0810,4.8210,4.9500,4.7465,4.9000,4.9603,5.0000
20140728,3.3040,4.0130,4.6280,4.3980,4.7465,4.9000,4.9602,5.0000
20140729,3.2503,3.9070,4.6000,4.1410,4.7390,4.9000,4.9601,5.0000
20140730,3.2502,3.9140,4.5250,4.1440,4.7316,4.9000,4.9590,5.0000
20140731,3.2040,3.9800,3.9790,4.2000,4.7215,4.9000,4.9588,5.0000
20140801,3.1960,3.9070,4.0470,4.2100,4.7149,4.9000,4.9558,5.0000
20140804,3.1820,3.8420,4.0860,4.1050,4.7081,4.9000,4.9551,5.0000
20140805,3.1450,3.7380,3.9980,4.0560,4.7049,4.8990,4.9543,5.0000
20140806,3.0510,3.5590,3.9799,4.1040,4.6982,4.8949,4.9505,5.0000
20140807,3.0400,3.5110,3.9770,4.1610,4.6941,4.8901,4.9491,5.0000
20140808,3.0010,3.4570,3.6930,4.1010,4.6921,4.8912,4.9465,5.0000
20140811,2.9550,3.4200,3.6160,4.1660,4.6916,4.8914,4.9467,5.0000
20140812,2.9160,3.3900,3.5860,4.1540,4.6905,4.8904,4.9457,5.0000
20140813,2.8920,3.3600,3.5790,4.2200,4.6882,4.8871,4.9442,5.0000
20140814,2.8880,3.3530,3.5980,4.2330,4.6834,4.8851,4.9391,5.0000
20140815,2.8890,3.3460,3.5090,4.1740,4.6811,4.8844,4.9387,5.0000
20140818,2.8580,3.2760,3.5100,4.3100,4.6805,4.8810,4.9382,5.0000
20140819,2.8350,3.2370,3.4770,4.3630,4.6791,4.8801,4.9382,5.0000
20140820,2.8330,3.2460,3.4620,4.2860,4.6804,4.8800,4.9390,5.0000
20140821,2.8480,3.3120,3.9800,4.2380,4.6786,4.8800,4.9400,5.0000
20140822,2.8430,3.3690,3.9420,4.2039,4.6764,4.8800,4.9398,5.0000
20140825,2.8410,3.3630,3.8860,4.1990,4.6758,4.8800,4.9394,5.0000
20140826,2.8230,3.3180,3.8760,4.2000,4.6695,4.8730,4.9363,5.0000
20140827,2.8610,3.3490,3.9828,4.1780,4.6680,4.8729,4.9365,5.0000
20140828,2.8760,3.5380,4.0500,4.1330,4.6689,4.8727,4.9373,5.0000
20140829,2.9080,3.6720,4.1990,4.1140,4.6659,4.8726,4.9364,5.0000