mfd_date,mfd_daily_yield,mfd_7daily_yield
20130701,1.5787,6.307
20130702,1.5461,6.174
20130703,1.467,6.034
20130704,1.4223,5.903
20130705,1.3845,5.739
20130706,1.3674,5.582
20130707,1.3671,5.425
20130708,1.3129,5.279
20130709,1.3096,5.15
20130710,1.2792,5.047
20130711,1.2616,4.959
20130712,1.2487,4.884
20130713,1.2396,4.815
20130714,1.2394,4.745
20130715,1.1985,4.682
20130716,1.2214,4.634
20130717,1.1829,4.582
20130718,1.1896,4.543
20130719,1.2032,4.518
20130720,1.1964,4.494
20130721,1.1962,4.471
20130722,1.1547,4.447
20130723,1.1826,4.426
20130724,1.1805,4.424
20130725,1.1645,4.411
20130726,1.1777,4.397
20130727,1.1728,4.384
20130728,1.1726,4.371
20130729,1.1515,4.369
20130730,1.1958,4.377
20130731,1.2088,4.392
20130801,1.2026,4.413
20130802,1.222,4.437
20130803,1.2154,4.46
20130804,1.2152,4.483
20130805,1.1875,4.503
20130806,1.204,4.507
20130807,1.2118,4.509
20130808,1.2155,4.516
20130809,1.2174,4.513
20130810,1.2128,4.512
20130811,1.2126,4.511
20130812,1.1886,4.511
20130813,1.2143,4.517
20130814,1.2201,4.521
20130815,1.2184,4.523
20130816,1.219,4.524
20130817,1.215,4.525
20130818,1.2148,4.526
20130819,1.1987,4.532
20130820,1.2288,4.54
20130821,1.2307,4.545
20130822,1.2187,4.546
20130823,1.2236,4.548
20130824,1.2204,4.551
20130825,1.2202,4.554
20130826,1.185,4.546
20130827,1.2131,4.538
20130828,1.213,4.528
20130829,1.3194,4.583
20130830,1.4113,4.686
20130831,1.2201,4.685
20130901,1.2199,4.685
20130902,1.4475,4.829
20130903,1.2339,4.84
20130904,1.2349,4.852
20130905,1.2374,4.807
20130906,1.5058,4.859
20130907,1.2415,4.87
20130908,1.2381,4.88
20130909,1.44,4.876
20130910,1.4214,4.979
20130911,1.2527,4.989
20130912,1.2598,5.001
20130913,1.3805,4.932
20130914,1.2613,4.943
20130915,1.2611,4.956
20130916,1.4143,4.942
20130917,1.2495,4.848
20130918,1.3366,4.894
20130919,1.2594,4.893
20130920,1.2592,4.827
20130921,1.2569,4.825
20130922,1.2567,4.822
20130923,1.2346,4.724
20130924,1.3281,4.767
20130925,1.3895,4.796
20130926,1.4449,4.897
20130927,1.3799,4.963
20130928,1.3138,4.994
20130929,1.3136,5.026
20130930,1.3162,5.07
20131001,1.3181,5.065
20131002,1.3179,5.026
20131003,1.3177,4.956
20131004,1.3175,4.922
20131005,1.3173,4.924
20131006,1.3111,4.922
20131007,1.3109,4.919
20131008,1.4756,5.006
20131009,1.2935,4.992
20131010,1.3088,4.987
20131011,1.3122,4.985
20131012,1.3082,4.98
20131013,1.308,4.978
20131014,1.2777,4.96
20131015,1.3456,4.889
20131016,1.313,4.899
20131017,1.2908,4.889
20131018,1.2917,4.878
20131019,1.2859,4.866
20131020,1.2857,4.854
20131021,1.34,4.888
20131022,1.2698,4.846
20131023,1.273,4.825
20131024,1.2811,4.819
20131025,1.2758,4.811
20131026,1.2731,4.804
20131027,1.2729,4.797
20131028,1.2428,4.743
20131029,1.289,4.754
20131030,1.2902,4.763
20131031,1.2965,4.772
20131101,1.2919,4.781
20131102,1.2911,4.79
20131103,1.291,4.8
20131104,1.2888,4.825
20131105,1.2938,4.828
20131106,1.2917,4.829
20131107,1.2935,4.827
20131108,1.292,4.827
20131109,1.2891,4.826
20131110,1.2889,4.825
20131111,1.4962,4.938
20131112,1.4577,5.028
20131113,1.4097,5.093
20131114,1.3294,5.112
20131115,1.4738,5.212
20131116,1.3102,5.224
20131117,1.31,5.235
20131118,1.321,5.139
20131119,1.3377,5.073
20131120,1.3352,5.033
20131121,1.3442,5.041
20131122,1.3502,4.973
20131123,1.3469,4.993
20131124,1.3467,5.013
20131125,1.361,5.035
20131126,1.3774,5.057
20131127,1.3755,5.079
20131128,1.3862,5.102
20131129,1.3879,5.123
20131130,1.3878,5.145
20131201,1.3876,5.168
20131202,1.3882,5.182
20131203,1.399,5.194
20131204,1.3982,5.207
20131205,1.4025,5.216
20131206,1.3848,5.214
20131207,1.3815,5.211
20131208,1.3809,5.207
20131209,1.4227,5.226
20131210,1.4271,5.241
20131211,1.42,5.253
20131212,1.4663,5.288
20131213,1.4527,5.325
20131214,1.4493,5.363
20131215,1.4491,5.4
20131216,1.4771,5.43
20131217,1.4532,5.444
20131218,1.4542,5.463
20131219,1.5167,5.491
20131220,1.513,5.524
20131221,1.5109,5.558
20131222,1.5107,5.592
20131223,1.6189,5.67
20131224,1.611,5.757
20131225,1.7012,5.893
20131226,1.7674,6.032
20131227,1.803,6.192
20131228,1.7889,6.346
20131229,1.7886,6.5
20131230,1.7947,6.598
20131231,1.7869,6.696
20140101,1.7807,6.74
20140102,1.8092,6.763
20140103,1.7847,6.753
20140104,1.7751,6.745
20140105,1.7748,6.738
20140106,1.774,6.726
20140107,1.8086,6.738
20140108,1.822,6.761
20140109,1.7647,6.737
20140110,1.7878,6.738
20140111,1.7439,6.721
20140112,1.7434,6.703
20140113,1.7584,6.695
20140114,1.7634,6.67
20140115,1.7295,6.618
20140116,1.723,6.595
20140117,1.7139,6.554
20140118,1.6772,6.517
20140119,1.6767,6.48
20140120,1.7235,6.46
20140121,1.6958,6.423
20140122,1.6853,6.398
20140123,1.7491,6.413
20140124,1.7296,6.422
20140125,1.6815,6.424
20140126,1.695,6.434
20140127,1.6915,6.416
20140128,1.7398,6.441
20140129,1.6693,6.432
20140130,1.6193,6.36
20140131,1.609,6.293
20140201,1.6086,6.253
20140202,1.6083,6.205
20140203,1.608,6.158
20140204,1.6078,6.085
20140205,1.6072,6.051
20140206,1.6069,6.044
20140207,1.7017,6.096
20140208,1.6795,6.135
20140209,1.6792,6.174
20140210,1.7004,6.225
20140211,1.677,6.263
20140212,1.6702,6.298
20140213,1.6705,6.334
20140214,1.661,6.311
20140215,1.6566,6.298
20140216,1.6563,6.286
20140217,1.6526,6.259
20140218,1.6433,6.241
20140219,1.6337,6.22
20140220,1.6358,6.201
20140221,1.6282,6.183
20140222,1.6247,6.165
20140223,1.6238,6.147
20140224,1.6323,6.136
20140225,1.6039,6.114
20140226,1.596,6.093
20140227,1.5792,6.062
20140228,1.572,6.031
20140301,1.5698,6.001
20140302,1.5695,5.971
20140303,1.5559,5.928
20140304,1.5429,5.895
20140305,1.5411,5.864
20140306,1.5259,5.835
20140307,1.517,5.805
20140308,1.5148,5.774
20140309,1.5145,5.744
20140310,1.5048,5.716
20140311,1.4965,5.69
20140312,1.4997,5.668
20140313,1.4878,5.647
20140314,1.4831,5.628
20140315,1.4818,5.61
20140316,1.4816,5.592
20140317,1.4628,5.568
20140318,1.4726,5.555
20140319,1.4786,5.544
20140320,1.4772,5.538
20140321,1.4787,5.535
20140322,1.4638,5.526
20140323,1.4636,5.516
20140324,1.4542,5.511
20140325,1.446,5.496
20140326,1.4345,5.472
20140327,1.4273,5.445
20140328,1.4255,5.415
20140329,1.4259,5.395
20140330,1.4257,5.374
20140331,1.431,5.361
20140401,1.4368,5.356
20140402,1.437,5.357
20140403,1.4364,5.362
20140404,1.4338,5.367
20140405,1.4318,5.37
20140406,1.4314,5.373
20140407,1.4312,5.373
20140408,1.4263,5.368
20140409,1.4239,5.36
20140410,1.4202,5.351
20140411,1.4106,5.339
20140412,1.4099,5.327
20140413,1.4097,5.315
20140414,1.4048,5.3
20140415,1.4022,5.287
20140416,1.3958,5.272
20140417,1.3866,5.253
20140418,1.3841,5.239
20140419,1.3835,5.224
20140420,1.383,5.21
20140421,1.3866,5.2
20140422,1.3813,5.188
20140423,1.3654,5.171
20140424,1.3515,5.152
20140425,1.344,5.13
20140426,1.3441,5.109
20140427,1.3439,5.087
20140428,1.3506,5.067
20140429,1.346,5.048
20140430,1.3511,5.04
20140501,1.3364,5.032
20140502,1.3362,5.028
20140503,1.3361,5.023
20140504,1.3543,5.029
20140505,1.3378,5.022
20140506,1.3831,5.042
20140507,1.3393,5.036
20140508,1.3221,5.028
20140509,1.3244,5.022
20140510,1.3117,5.008
20140511,1.3115,4.985
20140512,1.3083,4.969
20140513,1.3022,4.924
20140514,1.2986,4.902
20140515,1.2971,4.888
20140516,1.2986,4.874
20140517,1.2818,4.858
20140518,1.2816,4.842
20140519,1.3283,4.853
20140520,1.3308,4.868
20140521,1.323,4.882
20140522,1.2887,4.877
20140523,1.281,4.867
20140524,1.2488,4.849
20140525,1.2486,4.831
20140526,1.249,4.788
20140527,1.2548,4.746
20140528,1.2597,4.712
20140529,1.2381,4.684
20140530,1.279,4.683
20140531,1.2376,4.677
20140601,1.2364,4.67
20140602,1.2305,4.66
20140603,1.2473,4.656
20140604,1.2611,4.657
20140605,1.2818,4.681
20140606,1.2476,4.664
20140607,1.2474,4.669
20140608,1.2473,4.675
20140609,1.2719,4.698
20140610,1.2628,4.706
20140611,1.2723,4.712
20140612,1.2625,4.702
20140613,1.2801,4.719
20140614,1.2678,4.73
20140615,1.2677,4.742
20140616,1.2581,4.734
20140617,1.2436,4.724
20140618,1.2244,4.697
20140619,1.193,4.66
20140620,1.2332,4.634
20140621,1.1774,4.585
20140622,1.1773,4.535
20140623,1.1818,4.494
20140624,1.1875,4.463
20140625,1.1376,4.416
20140626,1.1175,4.375
20140627,1.1403,4.324
20140628,1.1247,4.296
20140629,1.1245,4.267
20140630,1.1234,4.235
20140701,1.1619,4.221
20140702,1.1374,4.221
20140703,1.1345,4.23
20140704,1.1211,4.22
20140705,1.121,4.218
20140706,1.1209,4.216
20140707,1.1216,4.215
20140708,1.1183,4.191
20140709,1.1169,4.18
20140710,1.1305,4.178
20140711,1.12,4.177
20140712,1.113,4.173
20140713,1.1125,4.169
20140714,1.1284,4.172
20140715,1.1341,4.181
20140716,1.1377,4.192
20140717,1.1133,4.183
20140718,1.1215,4.184
20140719,1.1131,4.184
20140720,1.1129,4.184
20140721,1.1428,4.192
20140722,1.1166,4.182
20140723,1.1266,4.176
20140724,1.1215,4.181
20140725,1.1244,4.182
20140726,1.1221,4.187
20140727,1.122,4.192
20140728,1.1276,4.184
20140729,1.1156,4.183
20140730,1.1162,4.178
20140731,1.1156,4.174
20140801,1.1173,4.171
20140802,1.118,4.168
20140803,1.1178,4.166
20140804,1.1451,4.176
20140805,1.1203,4.178
20140806,1.1162,4.178
20140807,1.1186,4.18
20140808,1.1397,4.192
20140809,1.1173,4.191
20140810,1.1172,4.191
20140811,1.1235,4.179
20140812,1.1146,4.176
20140813,1.1138,4.175
20140814,1.1367,4.185
20140815,1.1129,4.17
20140816,1.1128,4.168
20140817,1.1126,4.165
20140818,1.1122,4.159
20140819,1.122,4.163
20140820,1.124,4.169
20140821,1.1168,4.158
20140822,1.104,4.153
20140823,1.0997,4.146
20140824,1.0993,4.139
20140825,1.1122,4.139
20140826,1.1085,4.131
20140827,1.1079,4.123
20140828,1.1043,4.116
20140829,1.1169,4.123
20140830,1.1206,4.134
20140831,1.1204,4.146